state,year,quarter,count,amount,district,latitude_x,longitude_x,latitude_y,longitude_y,latitude,longitude
Mizoram,2019,Q3,4389,12447829,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2019,Q3,3512,12151523,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2019,Q3,2722,10739243,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2019,Q4,68532,215337713,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2019,Q4,15344,42919898,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2019,Q4,11051,24470971,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2019,Q4,8468,16925628,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2019,Q4,8069,22279514,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2019,Q4,5889,15064874,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2019,Q4,4878,17885681,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2019,Q4,3008,13805068,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2020,Q1,78597,215534588,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2020,Q1,19703,47052524,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2020,Q1,13887,31918357,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2020,Q1,12136,21524123,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2020,Q1,11386,26364756,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2020,Q1,7512,15256865,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2020,Q1,6269,19712814,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2020,Q1,4119,14713548,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2020,Q2,93369,238637352,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2020,Q2,27260,60375778,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2020,Q2,22369,44085859,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2020,Q2,15352,24755549,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2020,Q2,14432,29350410,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2020,Q2,10425,19459795,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2020,Q2,8480,20817381,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2020,Q2,6775,19711305,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2020,Q3,136460,413175918,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
